FeatureID,Feature,Annotation,FeatureID_plain,Mode,Cosine,Mzerror,SubCategory,Group0,Group1,Group2
10136_neg,X10136_neg_397.187_5.291_NA,,10136,neg,,,,,,
10139_neg,X10139_neg_313.039_5.373_NA,,10139,neg,,,,,,
10140_pos,X10140_pos_370.244_3.936_NA,,10140,pos,,,,,,
10141_neg,X10141_neg_249.077_5.388_NA,,10141,neg,,,,,,
10143_pos,X10143_pos_202.086_3.923_NA,,10143,pos,,,,,,
10144_neg,X10144_neg_221.028_5.457_NA,,10144,neg,,,,,,
10146_pos,X10146_pos_251.128_4.021_NA,,10146,pos,,,,,,
1015_pos,X1015_pos_196.15_0.946_NA,,1015,pos,,,,,,
10150_neg,X10150_neg_249.113_5.32_NA,,10150,neg,,,,,,
10153_pos,X10153_pos_184.052_3.904_NA,,10153,pos,,,,,,
10158_pos,X10158_pos_368.254_3.955_NA,,10158,pos,,,,,,
10159_neg,X10159_neg_405.156_5.254_NA,,10159,neg,,,,,,
10164_neg,X10164_neg_311.15_5.242_NA,,10164,neg,,,,,,
10165_pos,X10165_pos_166.086_3.882_NA,,10165,pos,,,,,,
10168_neg,X10168_neg_393.193_5.343_NA,,10168,neg,,,,,,
1017_neg,X1017_neg_281.103_2.795_NA,,1017,neg,,,,,,
10170_pos,X10170_pos_299.168_3.956_NA,,10170,pos,,,,,,
10171_pos,X10171_pos_372.259_3.929_NA,,10171,pos,,,,,,
10172_pos,X10172_pos_391.194_3.891_NA,,10172,pos,,,,,,
10173_pos,X10173_pos_339.197_3.907_NA,,10173,pos,,,,,,
10174_neg,X10174_neg_249.08_5.349_NA,,10174,neg,,,,,,
10175_pos,X10175_pos_498.178_3.923_NA,,10175,pos,,,,,,
10178_pos,X10178_pos_438.234_3.916_NA,,10178,pos,,,,,,
1018_pos,X1018_pos_293.133_0.941_NA,,1018,pos,,,,,,
10181_pos,X10181_pos_317.15_3.915_NA,,10181,pos,,,,,,
10183_pos,X10183_pos_194.19_3.895_NA,,10183,pos,,,,,,
10184_pos,X10184_pos_292.111_3.912_NA,,10184,pos,,,,,,
10185_pos,X10185_pos_240.196_3.961_NA,,10185,pos,,,,,,
10187_pos,X10187_pos_283.175_4.055_Spectral Match to Hexaethylene glycol from NIST14,Spectral Match to Hexaethylene glycol from NIST14,10187,pos,0.741735,0.754385,PAG,a,polymer additive,PAG
10189_neg,X10189_neg_391.177_5.416_NA,,10189,neg,,,,,,
10189_pos,X10189_pos_275.594_3.899_NA,,10189,pos,,,,,,
1019_pos,X1019_pos_213.16_0.951_NA,,1019,pos,,,,,,
10192_pos,X10192_pos_272.139_3.923_NA,,10192,pos,,,,,,
10195_pos,X10195_pos_371.171_3.909_NA,,10195,pos,,,,,,
10197_neg,X10197_neg_467.157_5.343_NA,,10197,neg,,,,,,
10198_neg,X10198_neg_433.151_5.281_NA,,10198,neg,,,,,,
10209_pos,X10209_pos_297.133_3.946_NA,,10209,pos,,,,,,
1021_neg,X1021_neg_341.125_2.756_NA,,1021,neg,,,,,,
10211_pos,X10211_pos_168.058_3.985_NA,,10211,pos,,,,,,
10212_pos,X10212_pos_503.134_3.919_NA,,10212,pos,,,,,,
10213_neg,X10213_neg_383.172_5.423_NA,,10213,neg,,,,,,
10218_neg,X10218_neg_339.145_5.363_NA,,10218,neg,,,,,,
1022_neg,X1022_neg_327.109_2.779_NA,,1022,neg,,,,,,
1022_pos,X1022_pos_195.113_0.873_NA,,1022,pos,,,,,,
10220_neg,X10220_neg_465.177_5.35_NA,,10220,neg,,,,,,
10225_pos,X10225_pos_236.107_3.938_NA,,10225,pos,,,,,,
10226_pos,X10226_pos_257.128_3.937_Massbank:LU052601 Ancymidol|cyclopropyl-(4-methoxyphenyl)-pyrimidin-5-ylmethanol,Massbank:LU052601 Ancymidol|cyclopropyl-(4-methoxyphenyl)-pyrimidin-5-ylmethanol,10226,pos,0.787397,2.37372,,a,pesticide,pesticide - other
10228_pos,X10228_pos_288.127_3.95_NA,,10228,pos,,,,,,
1023_neg,X1023_neg_391.138_2.772_NA,,1023,neg,,,,,,
10231_neg,X10231_neg_409.245_5.357_NA,,10231,neg,,,,,,
10233_pos,X10233_pos_335.149_4.033_NA,,10233,pos,,,,,,
10234_pos,X10234_pos_580.354_3.805_NA,,10234,pos,,,,,,
10235_pos,X10235_pos_526.21_3.923_NA,,10235,pos,,,,,,
10237_pos,X10237_pos_534.349_4.042_NA,,10237,pos,,,,,,
10238_neg,X10238_neg_245.049_5.512_NA,,10238,neg,,,,,,
10238_pos,X10238_pos_523.144_3.96_NA,,10238,pos,,,,,,
1024_neg,X1024_neg_235.109_2.766_NA,,1024,neg,,,,,,
10240_pos,X10240_pos_518.281_3.985_NA,,10240,pos,,,,,,
10242_neg,X10242_neg_379.14_5.239_NA,,10242,neg,,,,,,
10242_pos,X10242_pos_230.154_3.907_NA,,10242,pos,,,,,,
10244_neg,X10244_neg_383.208_5.28_NA,,10244,neg,,,,,,
10244_pos,X10244_pos_427.234_3.831_NA,,10244,pos,,,,,,
10246_neg,X10246_neg_398.103_5.372_NA,,10246,neg,,,,,,
10246_pos,X10246_pos_562.307_4_NA,,10246,pos,,,,,,
10247_neg,X10247_neg_437.182_5.285_NA,,10247,neg,,,,,,
10248_neg,X10248_neg_506.204_5.465_NA,,10248,neg,,,,,,
10249_pos,X10249_pos_416.249_3.919_NA,,10249,pos,,,,,,
1025_pos,X1025_pos_208.097_0.954_NA,,1025,pos,,,,,,
10252_neg,X10252_neg_330.172_5.378_NA,,10252,neg,,,,,,
10256_pos,X10256_pos_575.229_3.803_NA,,10256,pos,,,,,,
10257_neg,X10257_neg_327.147_5.188_NA,,10257,neg,,,,,,
10257_pos,X10257_pos_532.297_4.101_NA,,10257,pos,,,,,,
10259_neg,X10259_neg_395.172_5.246_NA,,10259,neg,,,,,,
1026_pos,"X1026_pos_164.093_0.953_Spectral Match to 1H-Purin-6-amine, N,N-dimethyl- from NIST14","Spectral Match to 1H-Purin-6-amine, N,N-dimethyl- from NIST14",1026,pos,0.918425,19.528,,,,
10260_pos,X10260_pos_496.206_3.969_NA,,10260,pos,,,,,,
10262_neg,X10262_neg_295.119_5.268_NA,,10262,neg,,,,,,
10263_pos,X10263_pos_260.201_4_NA,,10263,pos,,,,,,
10264_neg,X10264_neg_465.098_5.371_NA,,10264,neg,,,,,,
10266_pos,X10266_pos_479.247_4.089_NA,,10266,pos,,,,,,
10267_pos,X10267_pos_668.407_3.824_NA,,10267,pos,,,,,,
1027_pos,X1027_pos_307.138_0.955_NA,,1027,pos,,,,,,
10271_neg,X10271_neg_305.14_5.34_NA,,10271,neg,,,,,,
10271_pos,X10271_pos_289.155_3.829_NA,,10271,pos,,,,,,
10274_pos,X10274_pos_331.154_4.224_NA,,10274,pos,,,,,,
1028_neg,X1028_neg_369.12_2.804_NA,,1028,neg,,,,,,
1028_pos,X1028_pos_175.087_0.896_NA,,1028,pos,,,,,,
10281_pos,X10281_pos_336.197_3.928_NA,,10281,pos,,,,,,
10284_neg,X10284_neg_325.166_5.384_NA,,10284,neg,,,,,,
1029_neg,X1029_neg_291.135_2.824_NA,,1029,neg,,,,,,
10290_neg,X10290_neg_365.161_5.229_NA,,10290,neg,,,,,,
10290_pos,X10290_pos_344.228_3.912_NA,,10290,pos,,,,,,
10293_pos,X10293_pos_503.306_3.938_Spectral Match to Undecaethylene glycol from NIST14,Spectral Match to Undecaethylene glycol from NIST14,10293,pos,0.945137,1.39458,PAG,a,polymer additive,PAG
10298_neg,X10298_neg_323.15_5.375_NA,,10298,neg,,,,,,
103_pos,X103_pos_414.883_0.538_NA,,103,pos,,,,,,
1030_pos,X1030_pos_233.15_0.966_NA,,1030,pos,,,,,,
10300_pos,X10300_pos_363.144_4.057_NA,,10300,pos,,,,,,
10302_neg,X10302_neg_367.177_5.403_NA,,10302,neg,,,,,,
10302_pos,X10302_pos_375.262_4.005_Spectral Match to Azithromycin from NIST14,Spectral Match to Azithromycin from NIST14,10302,pos,0.903637,1.62647,,a,pharmaceutical,antibiotic
10305_neg,X10305_neg_409.151_5.381_NA,,10305,neg,,,,,,
1031_neg,X1031_neg_205.098_2.769_NA,,1031,neg,,,,,,
10311_pos,X10311_pos_289.118_3.942_NA,,10311,pos,,,,,,
10313_neg,X10313_neg_265.145_5.414_NA,,10313,neg,,,,,,
10315_pos,X10315_pos_191.086_3.937_NA,,10315,pos,,,,,,
10316_pos,X10316_pos_265.144_3.95_Artemisinin CollisionEnergy:205060,Artemisinin CollisionEnergy:205060,10316,pos,0.749344,2.18687,,,,
10319_pos,X10319_pos_285.167_3.938_NA,,10319,pos,,,,,,
1032_neg,X1032_neg_357.156_3.011_NA,,1032,neg,,,,,,
1032_pos,X1032_pos_188.139_0.957_NA,,1032,pos,,,,,,
10321_pos,X10321_pos_567.263_3.968_NA,,10321,pos,,,,,,
10322_neg,X10322_neg_425.146_5.235_NA,,10322,neg,,,,,,
10324_neg,X10324_neg_563.197_5.39_NA,,10324,neg,,,,,,
10324_pos,"X10324_pos_188.07_3.969_MassbankEU:SM840801 Desethylatrazine|Deethylatrazine|6-chloro-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","MassbankEU:SM840801 Desethylatrazine|Deethylatrazine|6-chloro-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",10324,pos,0.926344,1.13587,,a,pesticide,herbicide
10325_neg,X10325_neg_593.207_5.402_NA,,10325,neg,,,,,,
10325_pos,X10325_pos_421.204_3.945_NA,,10325,pos,,,,,,
10327_neg,X10327_neg_463.198_5.304_NA,,10327,neg,,,,,,
10329_neg,X10329_neg_335.187_5.315_NA,,10329,neg,,,,,,
10329_pos,X10329_pos_460.312_3.955_NA,,10329,pos,,,,,,
10332_neg,X10332_neg_351.145_5.408_NA,,10332,neg,,,,,,
10335_neg,X10335_neg_377.161_5.381_NA,,10335,neg,,,,,,
10335_pos,X10335_pos_167.107_3.818_NA,,10335,pos,,,,,,
10336_pos,X10336_pos_264.196_3.939_Massbank:EA103410 N-Desmethylvenlafaxine|1-[1-(4-methoxyphenyl)-2-(methylamino)ethyl]-1-cyclohexanol,Massbank:EA103410 N-Desmethylvenlafaxine|1-[1-(4-methoxyphenyl)-2-(methylamino)ethyl]-1-cyclohexanol,10336,pos,0.865104,0.808578,,a,pharmaceutical,pharmaceutical - other
1034_neg,X1034_neg_168.066_2.768_NA,,1034,neg,,,,,,
10340_neg,X10340_neg_363.182_5.591_NA,,10340,neg,,,,,,
10350_neg,X10350_neg_449.182_5.413_NA,,10350,neg,,,,,,
10352_neg,X10352_neg_321.135_5.528_NA,,10352,neg,,,,,,
10353_neg,X10353_neg_379.198_5.403_NA,,10353,neg,,,,,,
10356_neg,X10356_neg_567.191_5.402_NA,,10356,neg,,,,,,
1036_neg,X1036_neg_367.104_2.809_NA,,1036,neg,,,,,,
1036_pos,"X1036_pos_286.144_0.954_Massbank:EA274410 Morphine|(5alpha,6alpha)-17-Methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol","Massbank:EA274410 Morphine|(5alpha,6alpha)-17-Methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol",1036,pos,0.96672,0.746558,,a,pharmaceutical,pharmaceutical - other
10364_neg,X10364_neg_383.135_5.359_NA,,10364,neg,,,,,,
10365_pos,X10365_pos_407.17_4.088_NA,,10365,pos,,,,,,
10366_neg,X10366_neg_577.212_5.395_NA,,10366,neg,,,,,,
10366_pos,X10366_pos_361.183_4.006_NA,,10366,pos,,,,,,
10370_pos,X10370_pos_414.27_3.816_NA,,10370,pos,,,,,,
10371_pos,X10371_pos_210.105_3.97_NA,,10371,pos,,,,,,
10374_pos,X10374_pos_812.449_3.939_NA,,10374,pos,,,,,,
10375_neg,X10375_neg_307.119_5.354_NA,,10375,neg,,,,,,
10375_pos,X10375_pos_652.352_3.978_NA,,10375,pos,,,,,,
10378_pos,X10378_pos_585.288_3.731_NA,,10378,pos,,,,,,
10379_neg,X10379_neg_212.02_5.37_NA,,10379,neg,,,,,,
1038_neg,X1038_neg_307.13_2.659_NA,,1038,neg,,,,,,
1038_pos,X1038_pos_165.064_0.957_NA,,1038,pos,,,,,,
10383_pos,X10383_pos_293.138_4.11_NA,,10383,pos,,,,,,
10388_neg,X10388_neg_475.198_5.289_NA,,10388,neg,,,,,,
1039_neg,X1039_neg_165.019_2.85_NA,,1039,neg,,,,,,
10390_neg,X10390_neg_443.221_5.348_NA,,10390,neg,,,,,,
10396_neg,X10396_neg_301.108_5.389_NA,,10396,neg,,,,,,
10396_pos,X10396_pos_231.069_4.002_NA,,10396,pos,,,,,,
10399_pos,X10399_pos_388.254_3.969_NA,,10399,pos,,,,,,
1040_pos,X1040_pos_392.226_0.963_NA,,1040,pos,,,,,,
10400_neg,X10400_neg_202.042_5.388_NA,,10400,neg,,,,,,
10402_pos,X10402_pos_507.166_3.931_NA,,10402,pos,,,,,,
10405_pos,X10405_pos_293.186_3.94_NA,,10405,pos,,,,,,
10409_pos,X10409_pos_817.404_3.93_NA,,10409,pos,,,,,,
10410_pos,X10410_pos_321.133_3.978_NA,,10410,pos,,,,,,
10411_pos,X10411_pos_474.255_3.961_NA,,10411,pos,,,,,,
10413_pos,X10413_pos_277.155_4.053_NA,,10413,pos,,,,,,
10417_pos,X10417_pos_712.433_3.968_NA,,10417,pos,,,,,,
10418_neg,X10418_neg_217.087_5.378_NA,,10418,neg,,,,,,
1042_neg,X1042_neg_151.039_2.784_NA,,1042,neg,,,,,,
1042_pos,X1042_pos_180.102_0.973_NA,,1042,pos,,,,,,
10426_neg,X10426_neg_507.224_5.358_NA,,10426,neg,,,,,,
1043_neg,X1043_neg_425.146_2.83_NA,,1043,neg,,,,,,
1043_pos,X1043_pos_246.113_0.962_NA,,1043,pos,,,,,,
10430_neg,X10430_neg_207.03_5.39_NA,,10430,neg,,,,,,
10431_neg,X10431_neg_473.195_5.413_NA,,10431,neg,,,,,,
10431_pos,X10431_pos_332.258_3.93_NA,,10431,pos,,,,,,
10432_neg,X10432_neg_285.044_5.393_NA,,10432,neg,,,,,,
10434_pos,X10434_pos_308.181_3.957_NA,,10434,pos,,,,,,
1044_pos,X1044_pos_206.129_0.968_NA,,1044,pos,,,,,,
10441_pos,X10441_pos_390.984_3.949_NA,,10441,pos,,,,,,
10447_pos,X10447_pos_573.155_4.081_NA,,10447,pos,,,,,,
10448_pos,X10448_pos_278.096_3.957_NA,,10448,pos,,,,,,
10449_pos,X10449_pos_583.294_3.856_NA,,10449,pos,,,,,,
1045_neg,X1045_neg_473.132_2.761_NA,,1045,neg,,,,,,
1045_pos,X1045_pos_262.013_0.978_NA,,1045,pos,,,,,,
10452_pos,X10452_pos_250.18_3.933_NA,,10452,pos,,,,,,
10460_pos,X10460_pos_302.175_3.649_NA,,10460,pos,,,,,,
10468_pos,X10468_pos_167.07_3.971_NA,,10468,pos,,,,,,
1047_pos,X1047_pos_264.159_0.97_NA,,1047,pos,,,,,,
10472_pos,X10472_pos_307.154_4.117_NA,,10472,pos,,,,,,
10475_pos,X10475_pos_594.37_3.852_NA,,10475,pos,,,,,,
10476_neg,X10476_neg_368.216_5.418_NA,,10476,neg,,,,,,
10479_pos,X10479_pos_629.315_3.896_NA,,10479,pos,,,,,,
1048_pos,X1048_pos_247.165_0.959_NA,,1048,pos,,,,,,
10480_neg,X10480_neg_259.028_5.441_NA,,10480,neg,,,,,,
10481_neg,X10481_neg_453.177_5.385_NA,,10481,neg,,,,,,
10481_pos,X10481_pos_641.207_3.98_NA,,10481,pos,,,,,,
10482_neg,X10482_neg_309.056_5.409_NA,,10482,neg,,,,,,
10482_pos,X10482_pos_614.269_3.981_NA,,10482,pos,,,,,,
10484_pos,X10484_pos_619.225_3.987_NA,,10484,pos,,,,,,
10486_pos,X10486_pos_531.265_3.805_NA,,10486,pos,,,,,,
10487_pos,X10487_pos_576.323_3.805_NA,,10487,pos,,,,,,
10488_neg,X10488_neg_535.202_5.424_NA,,10488,neg,,,,,,
10488_pos,X10488_pos_347.204_3.908_NA,,10488,pos,,,,,,
10496_pos,X10496_pos_592.318_3.991_NA,,10496,pos,,,,,,
10497_neg,X10497_neg_287.093_5.406_NA,,10497,neg,,,,,,
105_neg,X105_neg_422.888_0.544_NA,,105,neg,,,,,,
1050_neg,X1050_neg_514.136_2.827_NA,,1050,neg,,,,,,
1050_pos,X1050_pos_370.244_0.966_NA,,1050,pos,,,,,,
10506_neg,X10506_neg_329.14_5.386_NA,,10506,neg,,,,,,
1051_neg,X1051_neg_255.124_2.804_NA,,1051,neg,,,,,,
1051_pos,X1051_pos_186.103_0.971_NA,,1051,pos,,,,,,
10511_neg,X10511_neg_267.032_5.408_NA,,10511,neg,,,,,,
10512_neg,X10512_neg_323.114_5.336_NA,,10512,neg,,,,,,
10514_neg,X10514_neg_433.187_5.354_NA,,10514,neg,,,,,,
10514_pos,X10514_pos_592.39_3.734_NA,,10514,pos,,,,,,
10515_pos,X10515_pos_630.37_3.966_NA,,10515,pos,,,,,,
10518_pos,X10518_pos_346.122_3.954_NA,,10518,pos,,,,,,
1052_neg,X1052_neg_263.104_2.81_NA,,1052,neg,,,,,,
10520_pos,X10520_pos_246.185_3.951_NA,,10520,pos,,,,,,
10522_pos,X10522_pos_274.17_3.763_NA,,10522,pos,,,,,,
10524_pos,X10524_pos_282.124_3.99_NA,,10524,pos,,,,,,
10526_pos,X10526_pos_311.175_3.974_NA,,10526,pos,,,,,,
10528_pos,X10528_pos_386.275_4.051_NA,,10528,pos,,,,,,
10529_neg,X10529_neg_337.166_5.321_NA,,10529,neg,,,,,,
10529_pos,X10529_pos_359.168_3.967_NA,,10529,pos,,,,,,
1053_neg,X1053_neg_373.151_2.804_NA,,1053,neg,,,,,,
1053_pos,X1053_pos_251.139_0.973_NA,,1053,pos,,,,,,
10531_pos,X10531_pos_613.341_3.881_NA,,10531,pos,,,,,,
10532_pos,X10532_pos_218.165_3.933_NA,,10532,pos,,,,,,
10533_pos,X10533_pos_299.149_3.984_NA,,10533,pos,,,,,,
10534_neg,X10534_neg_503.193_5.415_NA,,10534,neg,,,,,,
10534_pos,"X10534_pos_150.091_3.973_Massbank:LU089001 N-(2,4-Dimethylphenyl)formamide","Massbank:LU089001 N-(2,4-Dimethylphenyl)formamide",10534,pos,0.854713,2.64325,,a,pesticide,insecticide
10538_pos,X10538_pos_429.213_3.963_NA,,10538,pos,,,,,,
10539_pos,X10539_pos_613.247_3.971_NA,,10539,pos,,,,,,
1054_neg,X1054_neg_345.156_2.75_NA,,1054,neg,,,,,,
10540_pos,X10540_pos_260.165_3.788_NA,,10540,pos,,,,,,
10541_neg,X10541_neg_251.083_5.415_NA,,10541,neg,,,,,,
10543_pos,X10543_pos_416.285_3.966_NA,,10543,pos,,,,,,
10548_neg,X10548_neg_550.101_5.443_NA,,10548,neg,,,,,,
10549_neg,X10549_neg_253.054_5.306_NA,,10549,neg,,,,,,
1055_pos,X1055_pos_354.249_0.969_NA,,1055,pos,,,,,,
10550_pos,X10550_pos_591.359_3.882_NA,,10550,pos,,,,,,
10551_pos,X10551_pos_196.206_3.957_NA,,10551,pos,,,,,,
10552_neg,X10552_neg_251.129_5.497_NA,,10552,neg,,,,,,
10552_pos,X10552_pos_408.213_3.959_NA,,10552,pos,,,,,,
10553_neg,X10553_neg_645.372_5.391_NA,,10553,neg,,,,,,
10559_pos,X10559_pos_354.212_3.97_NA,,10559,pos,,,,,,
10562_neg,X10562_neg_319.167_5.409_NA,,10562,neg,,,,,,
10565_pos,X10565_pos_619.255_3.988_NA,,10565,pos,,,,,,
10566_pos,X10566_pos_655.279_3.986_NA,,10566,pos,,,,,,
10567_pos,X10567_pos_517.286_3.974_NA,,10567,pos,,,,,,
1057_neg,X1057_neg_172.04_2.817_NA,,1057,neg,,,,,,
1057_pos,X1057_pos_244.998_0.975_NA,,1057,pos,,,,,,
10572_neg,X10572_neg_212.002_5.576_NA,,10572,neg,,,,,,
10572_pos,"X10572_pos_215.978_4.108_MassbankEU:SM882601 2-Benzothiazolesulfonic acid|Benzothiazole-2-sulfonic acid|1,3-benzothiazole-2-sulfonic acid","MassbankEU:SM882601 2-Benzothiazolesulfonic acid|Benzothiazole-2-sulfonic acid|1,3-benzothiazole-2-sulfonic acid",10572,pos,0.958536,2.33144,,a,polymer additive,other polymer additive
10574_pos,X10574_pos_349.165_4.183_NA,,10574,pos,,,,,,
1058_neg,X1058_neg_345.087_2.837_NA,,1058,neg,,,,,,
1058_pos,X1058_pos_306.158_0.968_NA,,1058,pos,,,,,,
10580_pos,X10580_pos_606.37_3.855_NA,,10580,pos,,,,,,
10583_neg,X10583_neg_365.197_5.535_NA,,10583,neg,,,,,,
10584_neg,X10584_neg_209.095_5.47_NA,,10584,neg,,,,,,
10585_neg,X10585_neg_579.228_5.415_NA,,10585,neg,,,,,,
10587_neg,X10587_neg_413.128_5.436_NA,,10587,neg,,,,,,
10587_pos,X10587_pos_446.297_4.007_NA,,10587,pos,,,,,,
10589_pos,X10589_pos_302.142_4_NA,,10589,pos,,,,,,
10595_pos,X10595_pos_238.191_3.998_NA,,10595,pos,,,,,,
10596_pos,X10596_pos_183.102_3.858_NA,,10596,pos,,,,,,
10597_pos,X10597_pos_214.144_3.759_NA,,10597,pos,,,,,,
106_neg,X106_neg_548.853_0.545_NA,,106,neg,,,,,,
10602_neg,X10602_neg_329.107_5.549_NA,,10602,neg,,,,,,
10603_neg,X10603_neg_269.086_5.416_NA,,10603,neg,,,,,,
10605_neg,X10605_neg_439.108_5.421_NA,,10605,neg,,,,,,
1061_pos,X1061_pos_249.123_0.956_NA,,1061,pos,,,,,,
10614_pos,X10614_pos_196.133_3.957_NA,,10614,pos,,,,,,
10617_neg,X10617_neg_391.141_5.301_NA,,10617,neg,,,,,,
